Arthur J. Lei's Film List,,,,,,
,,,,,,
Title,Date,Note,Film Index/Counter,Note,Genre,Sequel/Prequel Status
The Corpse Bride,January 2007,"A touching, sappy, stop-motion love-story",703,"A touching, sappy, stop-motion love-story",,
Children of Men,January 2007,First film of 2007 year seen in the theatre,704,First film of 2007 year seen in the theatre,,
Happy N'Ever After,January 2007,"No where near Passable but lacking gravitas, that magical touch",705,"No where near Passable but lacking gravitas, that magical touch",,
Renaissance,January 2007,It looked cool. Lovely chiaroscuro,706,It looked cool. Lovely chiaroscuro,,
They Live,April 2007,"One of the first films I've watched with Andrew ""The Enforcer"" Hom",707,"One of the first films I've watched with Andrew ""The Enforcer"" Hom",,
The Departed,May 2007,One of my favorite Scorsese films,708,One of my favorite Scorsese films,,
Pan's Labyrinth,May 2007,AMAZING. Great parallelism,709,AMAZING. Great parallelism,,
Spiderman 3,June 2007,"I forgive you, Sam Raimi. It's very hard, but if I can salvage my $6.50 in some way, I can learn this lesson. ",710,"I forgive you, Sam Raimi. It's very hard, but if I can salvage my $6.50 in some way, I can learn this lesson. ",,
300,June 2007,"Solid, colorful, delightfully melodramatic and homoerotic",711,"Solid, colorful, delightfully melodramatic and homoerotic",,
Pane e tulipani,June 2007,2nd film with Bruno Ganz I've seen,712,2nd film with Bruno Ganz I've seen,,
The Conformist (Il conformista),June 2007,I watched half of this without sottotitoli,713,I watched half of this without sottotitoli,,
The Triplets of Belleville,June 2007,"First film I've watched with Deb, animated film in French, a wonderful slice of a world",714,"First film I've watched with Deb, animated film in French, a wonderful slice of a world",,
Knocked Up,June 2007,"Good with the right people, annoying implausible with the wrong people",715,"Good with the right people, annoying implausible with the wrong people",,
The Whole Nine Yards,June 2007,"Quirky, Tarantino",716,"Quirky, Tarantino",,
The Bourne Ultimatum,August 2007,Gourmet popcorn filler,717,Gourmet popcorn filler,,
Rush Hour 3,August 2007,Passable but not stunning,718,Passable but not stunning,,
Oceans 13,August 2007,,719,,,
The Simpsons Movie,August 2007,,720,,,
Hot Fuzz,August 2007,,721,,,
Killshot,August 2007,Preview cut is the version that I saw! This was the first genuine movie preview that I've seen,722,Preview cut is the version that I saw! This was the first genuine movie preview that I've seen,,
Fearless,September 2007,,723,,,
The Invasion,October 2007,,724,,,
Paris Je t'aime,October 2007,,725,,,
The Lives of Others,November 2007,"The movie that ""Aileen"" sent me to see",726,"The movie that ""Aileen"" sent me to see",,
Amandla!,November 2007,,727,,,
Robin Hood Men in Tights,November 2007,,728,,,
Harry Potter and the Order of the Phoenix,November 2007,,729,,,
Away from Her,November 2007,,730,,,
The Host,November 2007,,731,,,
Ratatouille,November 2007,Film that made me wish I could cook,732,,,
Superbad,November 2007,,733,,,
Sicko,November 2007,,734,,,
Radio Freccia,December 2007,,735,,,
Stardust,December 2007,,736,,,
Letters from Iwo Jima,December 2007,,737,,,
No Country for Old Men,December 2007,,738,,,
Agata e La Tempesta,December 2007,,739,,,
The Golden Compass,December 2007,Bears. Armored Bears. Armored Fuckin' polar bears,740,Bears. Armored Bears. Armored Fuckin' polar bears,,
National Treasure 2: Book of Secrets,December 2007,,741,,,
Why We Fight,December 2007,,742,,,
CSA: Confederate States of America,December 2007,,743,,,
Il gattopardo,January 2008,The transition film between 2007 to 2008,744,The transition film between 2007 to 2008,,
Le samourai,January 2008,First film of 2008,745,First film of 2008,,
Gone Baby Gone,January 2008,,746,,,
3:10 to Yuma,January 2008,,747,,,
Eastern Promises,February 2008,,748,,,
Ossessione,February 2008,,749,,,
Roma Citta' Aperta,February 2008,First Rossellini film I ever saw,750,First Rossellini film I ever saw,,
I ladri di biciclette,February 2008,,751,,,
Riso Amaro,February 2008,,752,,,
American Gangster,February 2008,,753,,,
La Strada,February 2008,,754,,,
"Lust, Caution",February 2008,"Saw this the day after Aalok died, had to get away from the mourners, from the all the sadness.. This film was the wrong choice.",755,,,
Michael Clayton,March 2008,,756,,,
Divorzio all'Italiana,Fall 2006,,757,,,
L'avventura,March 2008,,758,,,
Un americano a Roma,March 2008,,759,,,
Blowup,March 2008,,760,,,
Romanzo Criminale,March 2008,,761,,,
Rocco e suoi fratelli,March 2008,,762,,,
There Will Be Blood,April 2008,,763,,,
Edipo Re,April 2008,,764,,,
Cloverfield,April 2008,,765,,,
Juno,April 2008,,766,,,
"Quo Vadis, Baby?",April 2008,,767,,,
Flawless,May 2008,,768,,,
Iron Man,May 2008,,769,,,
The Replacement Killers,May 2008,,770,,,
The Forbidden Kingdom,May 2008,,771,,,
Indiana Jones and the Kingdom of the Crystal Skull,May 2008,,772,,,
Lethal Weapon,May 2008,,773,,,
Pennies from Heaven,June 2008,,774,,,
Lethal Weapon 2,June 2008,,775,,,
Ercole al centro della terra,June 2008,Il primo film del tipo peplum che io abbia mai visto! Anche il primo film di Mario Bava,776,,,
Lethal Weapon 3,June 2008,,777,,,
Lethal Weapon 4,June 2008,,778,,,
Sedotta e abbandonata,June 2008,,779,,,
The 36th Chamber of Shaolin,June 2008,,780,,,
Russian Ark,June 2008,,781,,,
Pulse (Kairo),June 2008,,782,,,
Salvatore Giuliano,June 2008,,783,,,
Kung-fu Panda,June 2008,,784,,,
You Kill Me,June 2008,,785,,,
Suspiria,June 2008,,786,,,
"Se tu incontri Sartana, prega per la tua morte",June 2008,,787,,,
The Incredible Hulk,June 2008,,788,,,
I soliti ignoti,June 2008,,789,,,
Wall-E,June 2008,,790,,,
Nosferatu,July 2008,,791,,,
Night Watch,July 2008,,792,,,
Sabata,July 2008,,793,,,
Wanted,July 2008,,794,,,
Le notti di Cabiria,July 2008,Mi veniva piangere,795,,,
Legionnaire,July 2008,Il primo film col Signore Van Damme che io abbia mai visto,796,,,
Bound,July 2008,,797,,,
Hellboy II: The Golden Army,July 2008,,798,,,
Get Smart,July 2008,,799,,,
I tre volti della paura,July 2008,,800,,,
Ikiru,July 2008,Film 800?,801,,,
Beowulf (2008),July 2008,,802,,,
Night on Earth,July 2008,,803,,,
The Dark Knight,July 2008,,804,,,
Mona Lisa,July 2008,,805,,,
Mafioso,July 2008,,806,,,
Up the Yangtze,July 2008,,807,,,
Thief of Baghdad (1940),July 2008,,808,,,
Glengarry Glen Ross,July 2008,Film 808,809,,,
Ugetsu,August 2008,,810,,,
Thunderball,August 2008,,811,,,
Zulu,August 2008,,812,,,
Pickup on South Street,August 2008,,813,,,
Robinson Crusoe on Mars,August 2008,,814,,,
Le mani sulla citta',August 2008,,815,,,
Kind Hearts and Coronets,August 2008,,816,,,
The Mummy: Tomb of the Dragon Emperor,August 2008,,817,,,
Amarcord,August 2008,Film 818,818,,,
Pirates of the Carribbean: At World's End,September 2008,,819,,,
Sex drive,September 2008,,820,,,
Persepolis,October 2008,,821,,,
In Bruges,October 2008,,822,,,
The Fall,October 2008,First film  I saw with Linda. =),823,,,
Il Decamerone,October 2008,First Pasolini film I've seen,824,,,
America the Beautiful,October 2008,,825,,,
We are Wizards,November 2008,,826,,,
Sound of Music,November 2008,,827,,,
Burn After Reading,December 2008,,828,,,
Beverly Hills Cop,December 2008,,829,,,
Quantum of Solace,December 2008,,830,,,
The Big Lebowski,December 2008,,831,,,
Hard Target,December 2008,,832,,,
Timecop,December 2008,,833,,,
Street Fighter,December 2008,,834,,,
E la nave va,December 2008,,835,,,
Born in East LA,December 2008,,836,,,
My Cousin Vinny,December 2008,,837,,,
The Tale of Despereux,December 2008,,838,,,
The Curious Case of Benjamin Button,December 2008,L'ultimo film che ho visto quest'anno all cinema,839,,,
Monsieur Hulot's Holiday,December 2008,,840,,,
Kiss Kiss Bang Bang,January 2009,,841,,,
Vampyr,January 2009,,842,,,
Blood Simple,January 2009,,843,,,
Alexander Nevsky,January 2009,"Prokofiev battle scene, fantastic",844,,,
Slumdog Millionaire,January 2009,Primo film visto al cinema per l'anno 2009,845,,,
American History X,January 2009,I watched this with Linda and Natalie,846,,,
Twilight,February 2009,I saw this film on Valentine's day. Let's just leave it at that.,847,,,
Gomorra,February 2009,"The subtitle problem really marred viewing experience. Saw this with Linda, had to explain half the film unfortunately",848,,,
Watchmen,March 2009,I remember being weirded out by the unnecessarily long sex scene.  I recall going with Deb and someone else. Maybe Colin. Hurm. Memory fuzzy.,849,,,
Moulin Rouge,March 2009,Saw this with Linda,850,,,
Star Trek,May 2009,"The first film of the Summer 2009 season, I saw this 3 times. Once I saw this with Colin and then with someone else... I am curious as to with whom I saw this film. I recall Zed being there at one point.",851,,,
Angels and Demons,May 2009,I saw this with Jan in KC.,852,,,
Star Trek IV: The Voyage Home,May 2009,I saw this back in MO with Yu Yuan,853,,,
Star Trek II: Wrath of Khan,May 2009,I saw this back in MO with Yu Yuan,854,,,
Star Trek VI: The Undiscovered Country,May 2009,"Still my favorite next to Wrath of Kahn. Something about having to move on, accepting old age and world change that gets me",855,,,
Futurama: Bender's Big Score,May 2009,Not bad. Saw this with my dad..,856,,,
Drag Me to Hell,May 2009,Saw this in St. Louis with Yu Yuan,857,,,
Dante's Inferno,May 2009,Saw this late night on OVTV (Indie film channel?) Would like to see this again,858,,,
Up,June 2009,"I saw this in Pseudo-3d with Yu Yuan. Reminded me of Linda and me, our relationship dynamics. Switched. I'm the extrovert. She's the introvert.",859,,,
Star Trek III: The Search for Spock,June 2009,,860,,,
Star Trek: First Contact,July 2009,First film I watched entirely on YouTube,861,,,
Public Enemies,July 2009,,862,,,
Harry Potter and the Half-Blood Prince,July 2009,,863,,,
The Hurt Locker,August 2009,,864,,,
Star Trek: The Motion Picture,August 2009,,865,,,
Godzilla: Final Wars,August 2009,,866,,,
District 9,August 2009,,867,,,
Punisher: War Zone,August 2009,,868,,,
Inglourious Basterds,August 2009,,869,,,
Fast Food Nation,August 2009,,870,,,
The Informant!,September 2009,,871,,,
Il Divo,September 2009,,872,,,
Battle of the Bulge,September 2009,,873,,,
Terminator Salvation,September 2009,,874,,,
Barbarossa,October 2009,"First film I watched in Italy. Waste of a great Rutger Hauer performance. It's 300, the Lega Edition",875,,,
Il mio fratello e' un figlio unico,October 2009,,876,,,
Twilight: New Moon,November 2009,,877,,,
Taking of Pelham 123,December 2009,,878,,,
Sherlock Holmes (2009),December 2009,,879,,,
Avatar,December 2009,,880,,,
Up in the Air,January 2010,,881,,,
The Breakfast Club,January 2010,,882,,,
Anzio,January 2010,,883,,,
Generale della Rovere,January 2010,,884,,,
Danger Diabolik!,February 2010,The comic is still infinitely better. ,885,,,
Near Dark,February 2010,,886,,,
Mongol ,February 2010,First film I have seen that was in Mongolian,887,,,
The Land That Time Forgot,February 2010,,888,,,
The Inglorious Bastards,February 2010,,889,,,
Fear(s) of the Dark,February 2010,,890,,,
The Spirit,February 2010,,891,,,
On Her Majesty's Secret Service,February 2010,,892,,,
High Plains Drifter,March 2010,,893,,,
Death at  Funeral,March 2010,Note: Recommend the original. The remake of this will be horrible.,894,,,
OSS 117; Cairo Nest of Spies,March 2010,The Film that made we want to learn FRENCH!,895,,,
Django spara per primo,March 2010,"Il primo spaghetti western che io abbia visto in Italiano, senza sottotitoli",896,,,
The Phantom,March 2010,Il primo film Blu-ray,897,,,
Battle Beyond The Stars,March 2010,The first science fiction adaptation of Seven Samurai I saw,898,,,
Heathers,March 2010,,899,,,
Zombieland,April 2010,,900,,,
Gli amici del bar Margherita,May 2010,,901,,,
Il papa di Giovanna,May 2010,,902,,,
Si puo' fare,May 2010,,903,,,
Vincere,May 2010,,904,,,
Iron Man 2,May 2010,,906,,,
The Blade of the Ripper o lo strano vizio della signora Wardh,June 2010,,907,,,
Hard to Kill,June 2010,First Steven Seagal movie,908,,,
Twilight: Eclipse,July 2010,,909,,,
Predators,July 2010,,910,,,
La terra trema,November 2010,,911,,,
Bellissima,November 2010,,912,,,
True Grit,January 2011,,913,,,
Inception,January 2011,"Predicted the ending, I think my mind has been Philip K. Dicked too many times.",914,,,
Black Swan,January 2011,Saw with Ferguson,915,,,
The Other Guys,January 2011,I saw this with Jennifer. Rien ne va plus I think is the French title,916,,,
The Swindle,Spring 2011,"French film seen with Jennifer, title has ""rien""",917,,,
New Jack City,Spring 2011,"Spring break, first film seen on Amazon Prime free movie streaming",918,,,
"Io, l'altro",Spring 2011,,919,,,
Bilo il grand dakkhar,April 2011,,920,,,
Good Morning Aman,April 2011,,921,,,
Bianco e nero,April 2011,,922,,,
X-Men Origins: Wolverine,May 2011,"Horrible movie, I remember why I stopped watching it halfway through while I was in Italy. It moves too swiftly. Uneven. Suspension of belief fails to occur. All filler, no thriller",923,,,
Thor,May 2011,,924,,,
Il vangelo secondo Matteo,Summer 2010,Best Christ story I've seen in a while. I apparently forgot to note this film until now... ,925,,,
Harry Potter and the Deathly Hollows (Part 2),June 2011,Saw this with Natalie and Elisabeth. ,926,,,
Captain America: The First Avenger,July 2011,"Saw this with the guys, perhaps Tyler",927,,,
X-Men: First Class,July 2011,,928,,,
Midnight in Paris,August 2011,,929,,,
Il signore Max,Fall 2011,,930,,,
Vecchia guardia,Fall 2011,,931,,,
Cedar Rapids,Fall 2011,"Saw this film with Bryan, very melancholy day",932,,,
Uomini che mascalzoni!,October 2011,,933,,,
Lo squadrone bianco,Fall 2011,,934,,,
La signora di tutti,Fall 2011,,935,,,
Don't Be Afraid of the Dark,Fall 2011,Saw this film with Liz,936,,,
Immortals ,November 2011,"Saw this film with Liz. Upskirting of the gods, indeed. Tarsem Singh needs a better script",937,,,
The Spirit ,Summer 2010,,938,,,
Nessuno torna indietro,November 2011,,939,,,
Maddalena zero in condotta,November 2011,,940,,,
The Descendants,December 2011,"Saw this film with Dayna, we both thought it was mediocre",941,,,
Centurion,Fall 2011?,"Saw this film with Tyler, both thought it acceptable albeit gory",942,,,
Sharkes in Venice,Summer 2011,"Shark night with Sam's crew, made a funny joke about tenure",943,,,
"Tinker,  Tailor, Soldier Spy",January 2012,"Saw this with Sam, Mu Jeong, Bryan. That bloody version of La mer stuck in my head for weeks",944,,,
Haywire,January 2012,"First film I saw this year, with Elisabeth, rather fortunate that I saw it with her. It's good to know a martial artist. I learned about the triangle hold from this. Also... Why was the protagonist relating her life to the random stranger she kidnapped?",945,,,
Habemus Papam,Febbraio 2012,"First IISA film I have seen; very wonderfully shot, I cannot believe that I kept thinking of Celestine V as I watched this film",946,,,
The Artist,February 2012,"Saw this with Dayna, first time at Van Ness AMC, odd borrowing from Vertigo score, interesting film, many shout-outs, visiual references to the old stuff",947,,,
Drive,February 2012,I saw this with Tyler and Sam. Sam thought it was okay. I thought it was borderline pretentious. Ryan Gosling has apparently mistaken looking forlorn with acting.,948,,,
The Legend of the Fist: The Return of Chen Zhen,March 2012,"First film after the exam, this film was ridiculously nationalistic, pro-China. Hilariously slow. It felt like watching a relic from another age. I swear all the Japanese villain had to do was eat a small child and it would have been perfect.",949,,,
John Carter of Mars,March 2012,"Saw this film with Liz. We had fun. It was gorgeous but the script was weak and banal. I'm getting so tired of the hero who lost his ideals but will regain them again soon trope. Also, there's an awkward moment for a handshake.",950,,,
La passione,April 2012,Yucky May-December romance subplot,951,,,
The Cabin in the Woods,April 2012,"Saw this film with Liz, Left the theater in an exhuberant mood",952,,,
The Avengers,May 2012,Another film I saw with Liz and Jason. It was fun. High-quality popcorn fluff,953,,,
The Skin I Which I Live In,May 2012,"Saw this with Claudia and Daniele, I actually anticpated the twist before the end",954,,,
The Triumph of the Will,May 2012,"Woke up early in the morning, saw this film, found it disappointing with respect to other propaganda films",955,,,
1911,May 2012,Watched this film with Bryan. So painfully preachy and nationalistic.,956,,,
Dark Portals: The Chroncles of Vidocq,May 2012,"Disappointing ending, weird twist on the frame narrative. Didn't see it coming.",957,,,
"Uomini si nasce, Poliziotti si muore",June 2012,"THIS FILM WAS AMAZING! It was like Mulholland Falls but with more violence, sex. It was like a James Ellroy world.",958,,,
Men in Black III,June 2012,"Not bad saw this with Nat, paroxysms of joy at Strangelove references ",959,,,
The Rulers of the City,June 2012,Why does Italian cinema try to copy Starsky and Hutch? Jack Palance was the only cool spot in this film,960,,,
Nuovomondo (The Golden Door),June 2012,"Saw this as part of IISA series, MILK! Milk!",961,,,
The Visitors,June 2012,The first film in French I've ever seen which featured Jean Reno as protagonist,962,,,
Prometheus,June 2012,"Coincidentally ended up seeing this with Sam, Jason and Elisabeth were intentional.",963,,,
Brave,June 2012,Saw this with Liz and Linda,964,,,
Moonrise Kingdom,June 2012,Saw this with Ian and Jason; Its aesthetic was hipster quality,965,,,
The Thirteenth Floor,June 2012,Saw this with Bryan or at least half of it. I sort of guessed the solution,966,,,
Conan the Barbarian (2012),July 2012,"Horrible movie, formulaic and flat",967,,,
Kick Ass,July 2012,"Indulgent, passable, C",968,,,
Ed Wood,July 2012,"Saw this with Ian and Seriji and Jenna, inspirational film, thereapeutic",969,,,
The Dark Knight Rises,July 2012,Last movie I saw as 25-year-old,970,,,
Lonely Hearts,July 2012,First movie I saw as 26-year-old,971,,,
The Toxic Avenger,August 2012,First Troma film I've ever seen,972,,,
Ultimate Avengers,August 2012,"Absolutely terrible, infantile. However, several aspects were borrowed by the Whedon film. The Hulk/Capt. America fight was similar.",973,,,
This Must Be The Place,August 2012,The second Sorrentino film I've seen,974,,,
Beasts of the Southern Wild,August 2012,"Saw this with my dad. Pretentious, pseudo-orientalist tripe",975,,,
Piccolo Mondo Antico,August 2012,"Saw this with Jennifer, Emily. I loved hearing ""sciura"" and ""sciur""",976,,,
Killer Joe,August 2012,Not as funny as I thought it would be.,977,,,
Imago,August 2012,Aziz Tazi's major motion picture production,978,,,
The Imposter,September 2012,Wonderful true crime piece. ,979,,,
Lawless,September 2012,"Agonizingly mediocre. yet again, I've paid to see a movie where I can barely understand what Tom Hardy is saying",980,,,
Conan the Barbarian ,September 2012,"Saw this with Ian, Emily, Liz, Jenna and Ryan. A movie made of stares. I swear the dialogue in this film must have only taken up five pages.",981,,,
La bellezza del somaro,September 2012,So-so. Reminded me of Seventh Seal on Prozac,982,,,
Nausicca Valley of the Winds,September 2012,This reminded me of a first draft of Miyazaki's later work,983,,,
Castle in the Sky,September 2012,So-so. Better than Naussica. Yet another film I saw with Jason. It's nice to see how Miyazaki improved his formula through the years. He can never have just a main male protagonist I note. ,984,,,
Porco Rosso,September 2012,"Stayed up late on a ""school night."" I loved the ambiguous ending and the gratuitious italian. The love triangle, though not unwelcome, surprised me.",985,,,
Falling Down,September 2012,Watched this on Amazon Prime Instant Video in installments. Felt like a taste of the times,986,,,
Dredd 3D,September 2012,"Jason: ""Platonic ideal of violent and gory action movie""",987,,,
Italy: Love It or Leave It,October 2012,Met the directors. Nice chaps.,988,,,
7 Psychopaths,October 2012,Saw this with Jason and Damien. We wondered how the dog ended up witht he protagonist. A bit too cheekily self-conscious.,989,,,
Arbitrage,October 2012,"Saw this with Jason. Agonizingly formulaic or rather it's the pinnacle of the maximum you can reach if you play things by formula. The film clearly had these stilted moments. Painfully predictable. However, it was good a projecting a style or a mood. ""Hey, I'm black"" and ""What's an Applebee's"" were great moments.",990,,,
L'ultimo terrestre,October 2012,"Okay. Slightly misogynistic film. How many Italian films, recent ones, that I have seen, have devolved into anything but a family drama? Clunky moralism. It felt like a first film. I also gave the speech that introduced this film.",991,,,
Slither,October 2012,"Solid C+ or B grade horror film; I watched with Fergie and Emily (who wore a lovely dress and uncomfortable heels). I felt it was overrated, despite some wonderful body horror scenes. However, the romantic subplot was a welcome part. Of course, at the end, all I can say is MEAT.... MEAT. ",992,,,
The Man with the Iron Fists,November 2012,"Painfully bad acting, tons of cheesecake and casual misogyny, refreshing self-awareness of its own pulpy and trashy roots. Solid B film. I saw this with Jason. We both loved that the perverted British character got away fine.",993,,,
Il grande sogno,November 2012,"Eh, it was mediocre. It could have been better, but it wasn't terrible. Laura Morante is always enchanting.",994,,,
Cloud Atlas,November 2012,"I saw this with Jason. After it was over, we both regretted never having seen it sooner. I also catch a gag about cannibalism that appears in all the segments. ",995,,,
Skyfall,November 2012,"So-so Bond film. On second viewing, the ""old age""/""obsolete"" metaphors get a bit strong.",996,,,
Lincoln,November 2012,Felt like an old school historical film. For some reason I kept thinking David Lean or John Ford,997,,,
Species,November 2012,Note to future self: Do not make judgments when deprived of sleep,998,,,
C'e' chi dice no,November 2012,"IISA FIlm that I presented, missed ten minutes of it to talk to Linda. It's both sad and inspiring. Viva i pirati del merito",999,,,
Life of Pi,December 2012,Pretty. Acceptable. Saw this with Jason,1000,,,
Wreck-It Ralph,December 2012,"Not bad. High quality schmaltz. I saw this with Liz, right person for it, as she's one of the few in my immediate circle who would get the obscure arcade game references. ""Sweet ride"" incident.",1001,,,
The Hobbit,December 2012,,1002,,,
Wonder Woman,December 2012,"I saw this on Netflix. Not as bad as I thought it would be. Enjoyable, albeit with disgusting amount of fanservice",1003,,,
Django Unchained,December 2012,I saw this with Emily. Great pulp. Disturbing attitude on violence,1004,,,
Gangster Squad,January 2013,"As historically accurate as the Chanson De Roland. A film that was all glitz and glamor and no soul. Unintentionally hilarious scene in which Christmas decorations are destroyed by machine gun fire. Of course, it was in slow motion.",1005,,,
Looper,January 2013,I watched this on the flight to London,1006,,,
Detective Dee and the Mystery of the Phantom Flame,March 2013,"Barely remember this. Watched dubbed version in Italian. Rather dark in how once again personal liberty is subordinate to an authoritarian sense of stability. In short, state stability trumps individual freedom.",1007,,,
THe Adventures of Tintin,March 2012,Saw this with Natalie and Lucy. Forgot to record this. ,1008,,,
Io sono Li,March 2013,"Okay film, glorious linguistic mixture. I forgot how euphonic Venetian could be",1009,,,
Dead Man Down,March 2013,"So-so, I'm glad I chose to watch this in Italian. Only one good moment And once again, F. Murray Abraham was in a film I saw in a theater in Italy! ""Il sapore della vendetta"" is the Italian title",1010,,,
Un giorno devi andare,April 2013,"A film with a well-defined female dimension, reminded me of Terence Malick",1011,,,
I mostri,April 2013,Hilarious,1012,,,
Arsene Lupin,April 2013,"Not bad. Watching a French film with Italian subtitles is always a riot. Also, Kristin Scott Thomas... yowza",1013,,,
Iron Man 3,April 2013,Saw this with ketty in Bologna,1014,,,
Hyde Park on Hudson,April 2013,This felt like a good Hallmark movie. And FDR was quite a player,1015,,,
"Maxed Out: Hard Times, Easy Credit and the Era of Predatory Lenders",May 2013,Elizabeth Warren presented cogent arguments. Grim and depressing,1016,,,
Death Race 2000,May 2013,Lovely film. Pure explotation goodness,1017,,,
Confessions of a Superhero,May 2013,Nice film with delusional actors... I met the Superman guy when we went to Graumann's Theater,1018,,,
The Great Gatsby,May 2013,"All glitz, serviceable, Daisy was an annoying deer in headlights character. No agency of her own, woman on a pedestal. I'm not sure that the 3D was entirely justified.",1019,,,
GI Joe Retaliation,May 2013,"Saw this wth Brian and Tammy. Acceptable film, felt cookie-cutter",1020,,,
The Naked Gun 2,May 2013,Adequate,1021,,,
Star Trek Into Darkness,May 2013,Dumb in hindsight,1022,,,
Fast and Furious 6,May 2013,Boring,1023,,,
Man of Steel,June 2013,DARK KNIGHTIFIED.... ,1024,,,
White House Down,June 2013,FORMULAICALLY PAINFUL,1025,,,
Pacific Rim,July 2013,FUN. A stupid movie for smart people,1026,,,
Killing Them Softly,July 2013,We get it. The world is cruel. America is founded on capitalist delusion. ,1027,,,
Spring Breakers,July 2013,Exquisite and pleasing mindfuck,1028,,,
The Conjuring,July 2013,Quality formulaic,1029,,,
The Bling Ring,July 2013,This felt like a period piece. Emma Watson acquits herself with aplomb.,1030,,,
The Wolverine,July 2013,Awful. Did the villainess implicitly say she was immune to Wolverine's charm because she was gay? This felt like Wolverine: The Sabbatical or Wolverine: My Summer Vacation. Unmemorable. Not even passable. I saw this with Emily.,1031,,,
Elysium,August 2013,"Great style, great pacing, terrible plot, modern update of Metropolis",1032,,,
Blackfish,August 2013,"Cheesy, raised interesting questions but questions it did not answer. For example, why the hell did we ever get the idea of riding killer whales? I mean... they're FUCKING APEX PREDATORS!!!",1033,,,
The Act of Killing,August 2013,Delightfully chilling... most unnerving film I've seen in a while.,1034,,,
Octopussy,August 2013,"Tired, Moore was a bit too old but he gave it the old college try. It wasn't enough to save the film. He really did dress up like a clown in this one, and then he disguised himself as a clown.",1035,,,
In A World,August 2013,"The protagonist reminded me of someone I knew, Stephanie Kozikowski. Cute, ""empowering"".",1036,,,
Kick Ass 2,August 2013,"Mediocre. It felt digustingly juvenile, a betrayal of something better. Also, that kiss at the end left me feeling sick. Completely undid the character. ",1037,,,
Miss Representation,August 2013,Painfully cogent documentary. So glad I'm a dude,1038,,,
The World's End,August 2013,Hilarious and painful. A cute film. A good date movie for my kind of gal.,1039,,,
You're Next,August 2013,"Horrifying, interesting class element sort of underplayed. Also, one of the antagonists reminded me of Chris from the Classics Dept. That actually made the film more enjoyable. ",1040,,,
Live and Let Die,August 2013,"Fascinatingly dated, improves upon the book, Yaphet Kotto gives a delightfully manic performance. ",1041,,,
Prisoners,September 2013,"Fine film, felt like a glossy paperback thriller, well-made. The audience in the theater was a bit disruptive.",1042,,,
Gravity,October 2013,"Fine film... well, visually.. Well, as I've said before elsewhere, it was visually stunning but upon further examination has sort of a conventional story and relies on character arcs that you've seen before (e.g. the rookie who becomes the veteran or mentor figure, a transformation signaled through changes in habits and appropriation of catch-phrases). Formula isn't bad per se. It just felt at times I could see the seams where the pieces joined together.

The physics (though far from accurate) were quite stellar especially compared to Star Wars/Trek. It's nice to have silent space. 

The ending was egergiously heavy-handed. I was tempted to yell, ""SYMBOLISM!"" with arms raised skyward at the end of it all.

Addendum: The George Clooney cameo later in the film starring George Clooney really is quite jarring. Once you see the film, you'll understand why I phrased it thusly.",1043,,,
Reality,October 2013,"Delightful tragicomedy on our obsessin with spetactle. Mesmerizing use of color. Nice double subtitles. ""Contestants"" translated as ""protagonists"" in subtitles at one point.",1044,,,
Salo',October 2013,I saw this on Halloween with Jason. ,1045,,,
Olympus Has Fallen,December 2013,North Korea? Really?,1046,,,
The Hobbit: Desolation of Smaug,December 2013,An accurate testament to the failed administratiion of Thorin. They tried too hard to make Legolas look like a badass,1047,,,
La grande bellezza,December 2013,"Awesome film. it's a film that's experienced. It's clear that Sorrentino is now working on a recurring theme. Men past the midway point trying to rejuvenate themselves, coming to terms with the past.  Soundtrack keeps coming back to my mind recently.",1048,,,
The Lone Ranger,December 2013,"t felt like Baby's First Spaghetti western or the kiddie version of a hard western. There were several shots and elements recycled from more adult or grittier. There were the shots of Monument Valley. There was the cruel forced march in the desert. There was the sing-along forced at gunpoint. There was the revenge plot, recognition via material objects/tokens. There was the magical realist element of it all. The frame story. Yes,  it was the neutered version of something that could have been fantastic. Odd, for a Disney film, it borrowed so many elements from darker. The Western is dead, because that West has been laid to rest. I bei giorni non ci sono e non ci sono mai stati. Johnny Depp felt badly miscast in the film. Also, the hero failed to save anyone and struck me as being unmemorable. It was the WASP tolerable version of the West, of the ethnic divides. It's weird that there were ethnic characters... at least this West was not whitewashed. It wasn't an utter disaster, but it wasn't anything worth recommending. Other than to my dad. ",1049,,,
Pain and Gain,December 2013,Better than it has any right to be. ,1050,,,
Her,December 2013,Saw this with Avy. Strange that it reminded me of my long-distance relationship ,1051,,,
Les avventures extraordinaires d'Adele blanc-sec,January 2014,"Jean-Pierre Jeunet Light, saw this as the calendar changed over",1052,,,
Frozen,January 2014,"I saw this with Linda in New York. The plot was good but the songs, the melodies were hardly memorable. Fearless Leader concurred.",1053,,,
The Stuff,February 2014,Delightful B-movie. The Stuff looks amazing.,1054,,,
Lego Movie,March 2014,Everything was awesome.,1055,,,
18 Ius Solis,March 2014,The director presented this film. It was another usual soft attempt at prop,1056,,,
300: Rise of an Empire,March 2014,Stylized violence and subdued homoeroticism! Delightfully offensive and subversive on several levels. I cannot help but think the director was making fun of us or rather the type of audience that would love this movie.,1057,,,
"Elvira, Mistress of the Dark",March 2014,"Every other line was a double entendre. Priceless. Thank you, Scott Bishop. This film had a heart.",1058,,,
